,PAHO Sub-Region,ISO-3,Country / territory,IFRC Sub-Region,Population,Tracker Update Date,Data Publication Date,EPI Week (year),EPI Week (outbreak),Cases
Deaths,Non Latin Caribbean,BRB,Barbados,Americas,283380,22nd March 2016,17th March 2016,11,26,0
Suspected,Non Latin Caribbean,BRB,Barbados,Americas,283380,22nd March 2016,17th March 2016,11,26,316
Confirmed,Andean,BOL,Bolivia,Americas,10561887,22nd March 2016,17th March 2016,11,26,12
Deaths,Andean,BOL,Bolivia,Americas,10561887,22nd March 2016,17th March 2016,11,26,0
Suspected,Andean,BOL,Bolivia,Americas,10561887,22nd March 2016,17th March 2016,11,26,0
Confirmed,Non Latin Caribbean,BES,Bonaire,Americas,17408,22nd March 2016,17th March 2016,11,26,1
Deaths,Non Latin Caribbean,BES,Bonaire,Americas,17408,22nd March 2016,17th March 2016,11,26,0
Suspected,Non Latin Caribbean,BES,Bonaire,Americas,17408,22nd March 2016,17th March 2016,11,26,0
Confirmed,South Cone,BRA,Brazil,Americas,206077898,22nd March 2016,17th March 2016,11,26,534
Deaths,South Cone,BRA,Brazil,Americas,206077898,22nd March 2016,17th March 2016,11,26,4
Suspected,South Cone,BRA,Brazil,Americas,206077898,22nd March 2016,17th March 2016,11,26,72062
Confirmed,Andean,COL,Colombia,Americas,47791393,22nd March 2016,17th March 2016,11,26,2090
Deaths,Andean,COL,Colombia,Americas,47791393,22nd March 2016,17th March 2016,11,26,3
Suspected,Andean,COL,Colombia,Americas,47791393,22nd March 2016,17th March 2016,11,26,49383
Confirmed,Central America,CRI,Costa Rica,Americas,4757606,22nd March 2016,17th March 2016,11,26,8
Deaths,Central America,CRI,Costa Rica,Americas,4757606,22nd March 2016,17th March 2016,11,26,0
Suspected,Central America,CRI,Costa Rica,Americas,4757606,22nd March 2016,17th March 2016,11,26,0
Confirmed,Latin Caribbean,CUB,Cuba,Americas,11379111,22nd March 2016,17th March 2016,11,26,1
Deaths,Latin Caribbean,CUB,Cuba,Americas,11379111,22nd March 2016,17th March 2016,11,26,0
Suspected,Latin Caribbean,CUB,Cuba,Americas,11379111,22nd March 2016,17th March 2016,11,26,0
Confirmed,Non Latin Caribbean,CUW,Curaçao,Americas,155872,22nd March 2016,17th March 2016,11,26,1
Deaths,Non Latin Caribbean,CUW,Curaçao,Americas,155872,22nd March 2016,17th March 2016,11,26,0
Suspected,Non Latin Caribbean,CUW,Curaçao,Americas,155872,22nd March 2016,17th March 2016,11,26,0
Confirmed,Non Latin Caribbean,DMA,Dominica,Americas,72341,22nd March 2016,17th March 2016,11,26,1
Deaths,Non Latin Caribbean,DMA,Dominica,Americas,72341,22nd March 2016,17th March 2016,11,26,0
Suspected,Non Latin Caribbean,DMA,Dominica,Americas,72341,22nd March 2016,17th March 2016,11,26,0
Confirmed,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,22nd March 2016,17th March 2016,11,26,18
Deaths,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,22nd March 2016,17th March 2016,11,26,0
Suspected,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,22nd March 2016,17th March 2016,11,26,670
Confirmed,Andean,ECU,Ecuador,Americas,15902916,22nd March 2016,17th March 2016,11,26,53
Deaths,Andean,ECU,Ecuador,Americas,15902916,22nd March 2016,17th March 2016,11,26,0
Suspected,Andean,ECU,Ecuador,Americas,15902916,22nd March 2016,17th March 2016,11,26,0
Confirmed,Central America,SLV,El Salvador,Americas,6107706,22nd March 2016,17th March 2016,11,26,3
Deaths,Central America,SLV,El Salvador,Americas,6107706,22nd March 2016,17th March 2016,11,26,0
Suspected,Central America,SLV,El Salvador,Americas,6107706,22nd March 2016,17th March 2016,11,26,9597
Confirmed,Latin Caribbean,GUF,French Guiana,Americas,237549,22nd March 2016,17th March 2016,11,26,142
Deaths,Latin Caribbean,GUF,French Guiana,Americas,237549,22nd March 2016,17th March 2016,11,26,0
Suspected,Latin Caribbean,GUF,French Guiana,Americas,237549,22nd March 2016,17th March 2016,11,26,1805
Confirmed,Latin Caribbean,GLP,Guadeloupe,Americas,404635,22nd March 2016,17th March 2016,11,26,77
Deaths,Latin Caribbean,GLP,Guadeloupe,Americas,404635,22nd March 2016,17th March 2016,11,26,0
Suspected,Latin Caribbean,GLP,Guadeloupe,Americas,404635,22nd March 2016,17th March 2016,11,26,717
Confirmed,Central America,GTM,Guatemala,Americas,16015494,22nd March 2016,17th March 2016,11,26,210
Deaths,Central America,GTM,Guatemala,Americas,16015494,22nd March 2016,17th March 2016,11,26,0
Suspected,Central America,GTM,Guatemala,Americas,16015494,22nd March 2016,17th March 2016,11,26,756
Confirmed,Non Latin Caribbean,GUY,Guyana,Americas,763893,22nd March 2016,17th March 2016,11,26,1
Deaths,Non Latin Caribbean,GUY,Guyana,Americas,763893,22nd March 2016,17th March 2016,11,26,0
Suspected,Non Latin Caribbean,GUY,Guyana,Americas,763893,22nd March 2016,17th March 2016,11,26,0
Confirmed,Latin Caribbean,HTI,Haiti,Americas,10572029,22nd March 2016,17th March 2016,11,26,5
Deaths,Latin Caribbean,HTI,Haiti,Americas,10572029,22nd March 2016,17th March 2016,11,26,0
Suspected,Latin Caribbean,HTI,Haiti,Americas,10572029,22nd March 2016,17th March 2016,11,26,329
Confirmed,Central America,HND,Honduras,Americas,7961680,22nd March 2016,17th March 2016,11,26,2
Deaths,Central America,HND,Honduras,Americas,7961680,22nd March 2016,17th March 2016,11,26,0
Suspected,Central America,HND,Honduras,Americas,7961680,22nd March 2016,17th March 2016,11,26,15849
Confirmed,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,22nd March 2016,17th March 2016,11,26,1
Deaths,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,22nd March 2016,17th March 2016,11,26,0
Suspected,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,22nd March 2016,17th March 2016,11,26,0
Confirmed,Latin Caribbean,MTQ,Martinique,Americas,392291,22nd March 2016,17th March 2016,11,26,12
Deaths,Latin Caribbean,MTQ,Martinique,Americas,392291,22nd March 2016,17th March 2016,11,26,0
Suspected,Latin Caribbean,MTQ,Martinique,Americas,392291,22nd March 2016,17th March 2016,11,26,10950
Confirmed,North America,MEX,Mexico,Americas,125385833,22nd March 2016,17th March 2016,11,26,151
Deaths,North America,MEX,Mexico,Americas,125385833,22nd March 2016,17th March 2016,11,26,0
Suspected,North America,MEX,Mexico,Americas,125385833,22nd March 2016,17th March 2016,11,26,0
Confirmed,Central America,NIC,Nicaragua,Americas,6013913,22nd March 2016,17th March 2016,11,26,119
Deaths,Central America,NIC,Nicaragua,Americas,6013913,22nd March 2016,17th March 2016,11,26,0
Suspected,Central America,NIC,Nicaragua,Americas,6013913,22nd March 2016,17th March 2016,11,26,0
Confirmed,Central America,PAN,Panama,Americas,3867535,22nd March 2016,17th March 2016,11,26,117
Deaths,Central America,PAN,Panama,Americas,3867535,22nd March 2016,17th March 2016,11,26,0
Suspected,Central America,PAN,Panama,Americas,3867535,22nd March 2016,17th March 2016,11,26,0
Confirmed,South Cone,PRY,Paraguay,Americas,6552518,22nd March 2016,17th March 2016,11,26,7
Deaths,South Cone,PRY,Paraguay,Americas,6552518,22nd March 2016,17th March 2016,11,26,0
Suspected,South Cone,PRY,Paraguay,Americas,6552518,22nd March 2016,17th March 2016,11,26,0
Confirmed,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,22nd March 2016,17th March 2016,11,26,102
Deaths,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,22nd March 2016,17th March 2016,11,26,0
Suspected,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,22nd March 2016,17th March 2016,11,26,0
Confirmed,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,22nd March 2016,17th March 2016,11,26,1
Deaths,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,22nd March 2016,17th March 2016,11,26,0
Suspected,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,22nd March 2016,17th March 2016,11,26,0
Confirmed,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,22nd March 2016,17th March 2016,11,26,21
Deaths,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,22nd March 2016,17th March 2016,11,26,0
Suspected,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,22nd March 2016,17th March 2016,11,26,129
Confirmed,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,22nd March 2016,17th March 2016,11,26,2
Deaths,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,22nd March 2016,17th March 2016,11,26,0
Suspected,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,22nd March 2016,17th March 2016,11,26,0
Confirmed,Non Latin Caribbean,SUR,Suriname,Americas,538248,22nd March 2016,17th March 2016,11,26,2
Deaths,Non Latin Caribbean,SUR,Suriname,Americas,538248,22nd March 2016,17th March 2016,11,26,4
Suspected,Non Latin Caribbean,SUR,Suriname,Americas,538248,22nd March 2016,17th March 2016,11,26,2352
Confirmed,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,22nd March 2016,17th March 2016,11,26,4
Deaths,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,22nd March 2016,17th March 2016,11,26,0
Suspected,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,22nd March 2016,17th March 2016,11,26,0
Confirmed,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,22nd March 2016,17th March 2016,11,26,11
Deaths,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,22nd March 2016,17th March 2016,11,26,0
Suspected,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,22nd March 2016,17th March 2016,11,26,83
Confirmed,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,22nd March 2016,17th March 2016,11,26,352
Deaths,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,22nd March 2016,17th March 2016,11,26,1
Suspected,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,22nd March 2016,17th March 2016,11,26,15495
Confirmed,Non Latin Caribbean,ABW,Aruba,Americas,103441,29th March 2016,24th March 2016,12,27,4
Deaths,Non Latin Caribbean,ABW,Aruba,Americas,103441,29th March 2016,24th March 2016,12,27,0
Suspected,Non Latin Caribbean,ABW,Aruba,Americas,103441,29th March 2016,24th March 2016,12,27,0
Confirmed,Non Latin Caribbean,BRB,Barbados,Americas,283380,29th March 2016,24th March 2016,12,27,7
Deaths,Non Latin Caribbean,BRB,Barbados,Americas,283380,29th March 2016,24th March 2016,12,27,0
Suspected,Non Latin Caribbean,BRB,Barbados,Americas,283380,29th March 2016,24th March 2016,12,27,316
Confirmed,Andean,BOL,Bolivia,Americas,10561887,29th March 2016,24th March 2016,12,27,12
Deaths,Andean,BOL,Bolivia,Americas,10561887,29th March 2016,24th March 2016,12,27,0
Suspected,Andean,BOL,Bolivia,Americas,10561887,29th March 2016,24th March 2016,12,27,0
Confirmed,Non Latin Caribbean,BES,Bonaire,Americas,17408,29th March 2016,24th March 2016,12,27,1
Deaths,Non Latin Caribbean,BES,Bonaire,Americas,17408,29th March 2016,24th March 2016,12,27,0
Suspected,Non Latin Caribbean,BES,Bonaire,Americas,17408,29th March 2016,24th March 2016,12,27,0
Confirmed,South Cone,BRA,Brazil,Americas,206077898,29th March 2016,24th March 2016,12,27,534
Deaths,South Cone,BRA,Brazil,Americas,206077898,29th March 2016,24th March 2016,12,27,4
Suspected,South Cone,BRA,Brazil,Americas,206077898,29th March 2016,24th March 2016,12,27,72062
Confirmed,Andean,COL,Colombia,Americas,47791393,29th March 2016,24th March 2016,12,27,2355
Deaths,Andean,COL,Colombia,Americas,47791393,29th March 2016,24th March 2016,12,27,0
Suspected,Andean,COL,Colombia,Americas,47791393,29th March 2016,24th March 2016,12,27,53369
Confirmed,Central America,CRI,Costa Rica,Americas,4757606,29th March 2016,24th March 2016,12,27,8
Deaths,Central America,CRI,Costa Rica,Americas,4757606,29th March 2016,24th March 2016,12,27,0
Suspected,Central America,CRI,Costa Rica,Americas,4757606,29th March 2016,24th March 2016,12,27,0
Confirmed,Latin Caribbean,CUB,Cuba,Americas,11379111,29th March 2016,24th March 2016,12,27,1
Deaths,Latin Caribbean,CUB,Cuba,Americas,11379111,29th March 2016,24th March 2016,12,27,0
Suspected,Latin Caribbean,CUB,Cuba,Americas,11379111,29th March 2016,24th March 2016,12,27,0
Confirmed,Non Latin Caribbean,CUW,Curaçao,Americas,155872,29th March 2016,24th March 2016,12,27,1
Deaths,Non Latin Caribbean,CUW,Curaçao,Americas,155872,29th March 2016,24th March 2016,12,27,0
Suspected,Non Latin Caribbean,CUW,Curaçao,Americas,155872,29th March 2016,24th March 2016,12,27,0
Confirmed,Non Latin Caribbean,DMA,Dominica,Americas,72341,29th March 2016,24th March 2016,12,27,1
Deaths,Non Latin Caribbean,DMA,Dominica,Americas,72341,29th March 2016,24th March 2016,12,27,0
Suspected,Non Latin Caribbean,DMA,Dominica,Americas,72341,29th March 2016,24th March 2016,12,27,0
Confirmed,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,29th March 2016,24th March 2016,12,27,18
Deaths,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,29th March 2016,24th March 2016,12,27,0
Suspected,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,29th March 2016,24th March 2016,12,27,822
Confirmed,Andean,ECU,Ecuador,Americas,15902916,29th March 2016,24th March 2016,12,27,53
Deaths,Andean,ECU,Ecuador,Americas,15902916,29th March 2016,24th March 2016,12,27,0
Suspected,Andean,ECU,Ecuador,Americas,15902916,29th March 2016,24th March 2016,12,27,0
Confirmed,Central America,SLV,El Salvador,Americas,6107706,29th March 2016,24th March 2016,12,27,3
Deaths,Central America,SLV,El Salvador,Americas,6107706,29th March 2016,24th March 2016,12,27,0
Suspected,Central America,SLV,El Salvador,Americas,6107706,29th March 2016,24th March 2016,12,27,9597
Confirmed,Latin Caribbean,GUF,French Guiana,Americas,237549,29th March 2016,24th March 2016,12,27,190
Deaths,Latin Caribbean,GUF,French Guiana,Americas,237549,29th March 2016,24th March 2016,12,27,0
Suspected,Latin Caribbean,GUF,French Guiana,Americas,237549,29th March 2016,24th March 2016,12,27,2265
Confirmed,Latin Caribbean,GLP,Guadeloupe,Americas,404635,29th March 2016,24th March 2016,12,27,104
Deaths,Latin Caribbean,GLP,Guadeloupe,Americas,404635,29th March 2016,24th March 2016,12,27,0
Suspected,Latin Caribbean,GLP,Guadeloupe,Americas,404635,29th March 2016,24th March 2016,12,27,805
Confirmed,Central America,GTM,Guatemala,Americas,16015494,29th March 2016,24th March 2016,12,27,261
Deaths,Central America,GTM,Guatemala,Americas,16015494,29th March 2016,24th March 2016,12,27,0
Suspected,Central America,GTM,Guatemala,Americas,16015494,29th March 2016,24th March 2016,12,27,915
Confirmed,Non Latin Caribbean,GUY,Guyana,Americas,763893,29th March 2016,24th March 2016,12,27,1
Deaths,Non Latin Caribbean,GUY,Guyana,Americas,763893,29th March 2016,24th March 2016,12,27,0
Suspected,Non Latin Caribbean,GUY,Guyana,Americas,763893,29th March 2016,24th March 2016,12,27,0
Confirmed,Latin Caribbean,HTI,Haiti,Americas,10572029,29th March 2016,24th March 2016,12,27,5
Deaths,Latin Caribbean,HTI,Haiti,Americas,10572029,29th March 2016,24th March 2016,12,27,0
Suspected,Latin Caribbean,HTI,Haiti,Americas,10572029,29th March 2016,24th March 2016,12,27,1777
Confirmed,Central America,HND,Honduras,Americas,7961680,29th March 2016,24th March 2016,12,27,2
Deaths,Central America,HND,Honduras,Americas,7961680,29th March 2016,24th March 2016,12,27,0
Suspected,Central America,HND,Honduras,Americas,7961680,29th March 2016,24th March 2016,12,27,16536
Confirmed,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,29th March 2016,24th March 2016,12,27,1
Deaths,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,29th March 2016,24th March 2016,12,27,0
Suspected,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,29th March 2016,24th March 2016,12,27,0
Confirmed,Latin Caribbean,MTQ,Martinique,Americas,392291,29th March 2016,24th March 2016,12,27,12
Deaths,Latin Caribbean,MTQ,Martinique,Americas,392291,29th March 2016,24th March 2016,12,27,0
Suspected,Latin Caribbean,MTQ,Martinique,Americas,392291,29th March 2016,24th March 2016,12,27,10950
Confirmed,North America,MEX,Mexico,Americas,125385833,29th March 2016,24th March 2016,12,27,151
Deaths,North America,MEX,Mexico,Americas,125385833,29th March 2016,24th March 2016,12,27,0
Suspected,North America,MEX,Mexico,Americas,125385833,29th March 2016,24th March 2016,12,27,0
Confirmed,Central America,NIC,Nicaragua,Americas,6013913,29th March 2016,24th March 2016,12,27,119
Deaths,Central America,NIC,Nicaragua,Americas,6013913,29th March 2016,24th March 2016,12,27,0
Suspected,Central America,NIC,Nicaragua,Americas,6013913,29th March 2016,24th March 2016,12,27,0
Confirmed,Central America,PAN,Panama,Americas,3867535,29th March 2016,24th March 2016,12,27,134
Deaths,Central America,PAN,Panama,Americas,3867535,29th March 2016,24th March 2016,12,27,0
Suspected,Central America,PAN,Panama,Americas,3867535,29th March 2016,24th March 2016,12,27,0
Confirmed,South Cone,PRY,Paraguay,Americas,6552518,29th March 2016,24th March 2016,12,27,7
Deaths,South Cone,PRY,Paraguay,Americas,6552518,29th March 2016,24th March 2016,12,27,0
Suspected,South Cone,PRY,Paraguay,Americas,6552518,29th March 2016,24th March 2016,12,27,0
Confirmed,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,29th March 2016,24th March 2016,12,27,249
Deaths,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,29th March 2016,24th March 2016,12,27,0
Suspected,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,29th March 2016,24th March 2016,12,27,0
Confirmed,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,29th March 2016,24th March 2016,12,27,1
Deaths,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,29th March 2016,24th March 2016,12,27,0
Suspected,Non Latin Caribbean,VCT,Saint Vincent and the Grenadines,Americas,109360,29th March 2016,24th March 2016,12,27,0
Confirmed,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,29th March 2016,24th March 2016,12,27,21
Deaths,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,29th March 2016,24th March 2016,12,27,0
Suspected,Latin Caribbean,MAF,Saint-Martin (French),Americas,31530,29th March 2016,24th March 2016,12,27,129
Confirmed,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,29th March 2016,24th March 2016,12,27,2
Deaths,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,29th March 2016,24th March 2016,12,27,0
Suspected,Non Latin Caribbean,SXM,Sint Maarten,Americas,33609,29th March 2016,24th March 2016,12,27,0
Confirmed,Non Latin Caribbean,SUR,Suriname,Americas,538248,29th March 2016,24th March 2016,12,27,2
Deaths,Non Latin Caribbean,SUR,Suriname,Americas,538248,29th March 2016,24th March 2016,12,27,4
Suspected,Non Latin Caribbean,SUR,Suriname,Americas,538248,29th March 2016,24th March 2016,12,27,2352
Confirmed,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,29th March 2016,24th March 2016,12,27,4
Deaths,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,29th March 2016,24th March 2016,12,27,0
Suspected,Non Latin Caribbean,TTO,Trinidad and Tobago,Americas,1354483,29th March 2016,24th March 2016,12,27,0
Confirmed,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,29th March 2016,24th March 2016,12,27,13
Deaths,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,29th March 2016,24th March 2016,12,27,0
Suspected,Non Latin Caribbean,VIR,United States Virgin Islands,Americas,104170,29th March 2016,24th March 2016,12,27,83
Confirmed,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,29th March 2016,24th March 2016,12,27,352
Deaths,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,29th March 2016,24th March 2016,12,27,1
Suspected,Andean,VEN,Venezuela (Bolivarian Republic of),Americas,30693827,29th March 2016,24th March 2016,12,27,15495
Confirmed,Non Latin Caribbean,ABW,Aruba,Americas,103441,5th April 2016,31st March 2016,13,28,4
Deaths,Non Latin Caribbean,ABW,Aruba,Americas,103441,5th April 2016,31st March 2016,13,28,0
Suspected,Non Latin Caribbean,ABW,Aruba,Americas,103441,5th April 2016,31st March 2016,13,28,0
Confirmed,Non Latin Caribbean,BRB,Barbados,Americas,283380,5th April 2016,31st March 2016,13,28,7
Deaths,Non Latin Caribbean,BRB,Barbados,Americas,283380,5th April 2016,31st March 2016,13,28,0
Suspected,Non Latin Caribbean,BRB,Barbados,Americas,283380,5th April 2016,31st March 2016,13,28,316
Confirmed,Andean,BOL,Bolivia,Americas,10561887,5th April 2016,31st March 2016,13,28,12
Deaths,Andean,BOL,Bolivia,Americas,10561887,5th April 2016,31st March 2016,13,28,0
Suspected,Andean,BOL,Bolivia,Americas,10561887,5th April 2016,31st March 2016,13,28,0
Confirmed,Non Latin Caribbean,BES,Bonaire,Americas,17408,5th April 2016,31st March 2016,13,28,1
Deaths,Non Latin Caribbean,BES,Bonaire,Americas,17408,5th April 2016,31st March 2016,13,28,0
Suspected,Non Latin Caribbean,BES,Bonaire,Americas,17408,5th April 2016,31st March 2016,13,28,0
Confirmed,South Cone,BRA,Brazil,Americas,206077898,5th April 2016,31st March 2016,13,28,534
Deaths,South Cone,BRA,Brazil,Americas,206077898,5th April 2016,31st March 2016,13,28,4
Suspected,South Cone,BRA,Brazil,Americas,206077898,5th April 2016,31st March 2016,13,28,72062
Confirmed,Andean,COL,Colombia,Americas,47791393,5th April 2016,31st March 2016,13,28,2361
Deaths,Andean,COL,Colombia,Americas,47791393,5th April 2016,31st March 2016,13,28,0
Suspected,Andean,COL,Colombia,Americas,47791393,5th April 2016,31st March 2016,13,28,56477
Confirmed,Central America,CRI,Costa Rica,Americas,4757606,5th April 2016,31st March 2016,13,28,8
Deaths,Central America,CRI,Costa Rica,Americas,4757606,5th April 2016,31st March 2016,13,28,0
Suspected,Central America,CRI,Costa Rica,Americas,4757606,5th April 2016,31st March 2016,13,28,0
Confirmed,Latin Caribbean,CUB,Cuba,Americas,11379111,5th April 2016,31st March 2016,13,28,1
Deaths,Latin Caribbean,CUB,Cuba,Americas,11379111,5th April 2016,31st March 2016,13,28,0
Suspected,Latin Caribbean,CUB,Cuba,Americas,11379111,5th April 2016,31st March 2016,13,28,0
Confirmed,Non Latin Caribbean,CUW,Curaçao,Americas,155872,5th April 2016,31st March 2016,13,28,1
Deaths,Non Latin Caribbean,CUW,Curaçao,Americas,155872,5th April 2016,31st March 2016,13,28,0
Suspected,Non Latin Caribbean,CUW,Curaçao,Americas,155872,5th April 2016,31st March 2016,13,28,0
Confirmed,Non Latin Caribbean,DMA,Dominica,Americas,72341,5th April 2016,31st March 2016,13,28,1
Deaths,Non Latin Caribbean,DMA,Dominica,Americas,72341,5th April 2016,31st March 2016,13,28,0
Suspected,Non Latin Caribbean,DMA,Dominica,Americas,72341,5th April 2016,31st March 2016,13,28,0
Confirmed,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,5th April 2016,31st March 2016,13,28,18
Deaths,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,5th April 2016,31st March 2016,13,28,0
Suspected,Latin Caribbean,DOM,Dominican Republic,Americas,10405943,5th April 2016,31st March 2016,13,28,991
Confirmed,Andean,ECU,Ecuador,Americas,15902916,5th April 2016,31st March 2016,13,28,63
Deaths,Andean,ECU,Ecuador,Americas,15902916,5th April 2016,31st March 2016,13,28,0
Suspected,Andean,ECU,Ecuador,Americas,15902916,5th April 2016,31st March 2016,13,28,0
Confirmed,Central America,SLV,El Salvador,Americas,6107706,5th April 2016,31st March 2016,13,28,3
Deaths,Central America,SLV,El Salvador,Americas,6107706,5th April 2016,31st March 2016,13,28,0
Suspected,Central America,SLV,El Salvador,Americas,6107706,5th April 2016,31st March 2016,13,28,9597
Confirmed,Latin Caribbean,GUF,French Guiana,Americas,237549,5th April 2016,31st March 2016,13,28,216
Deaths,Latin Caribbean,GUF,French Guiana,Americas,237549,5th April 2016,31st March 2016,13,28,0
Suspected,Latin Caribbean,GUF,French Guiana,Americas,237549,5th April 2016,31st March 2016,13,28,2770
Confirmed,Latin Caribbean,GLP,Guadeloupe,Americas,404635,5th April 2016,31st March 2016,13,28,151
Deaths,Latin Caribbean,GLP,Guadeloupe,Americas,404635,5th April 2016,31st March 2016,13,28,0
Suspected,Latin Caribbean,GLP,Guadeloupe,Americas,404635,5th April 2016,31st March 2016,13,28,794
Confirmed,Central America,GTM,Guatemala,Americas,16015494,5th April 2016,31st March 2016,13,28,261
Deaths,Central America,GTM,Guatemala,Americas,16015494,5th April 2016,31st March 2016,13,28,0
Suspected,Central America,GTM,Guatemala,Americas,16015494,5th April 2016,31st March 2016,13,28,915
Confirmed,Non Latin Caribbean,GUY,Guyana,Americas,763893,5th April 2016,31st March 2016,13,28,1
Deaths,Non Latin Caribbean,GUY,Guyana,Americas,763893,5th April 2016,31st March 2016,13,28,0
Suspected,Non Latin Caribbean,GUY,Guyana,Americas,763893,5th April 2016,31st March 2016,13,28,0
Confirmed,Latin Caribbean,HTI,Haiti,Americas,10572029,5th April 2016,31st March 2016,13,28,5
Deaths,Latin Caribbean,HTI,Haiti,Americas,10572029,5th April 2016,31st March 2016,13,28,0
Suspected,Latin Caribbean,HTI,Haiti,Americas,10572029,5th April 2016,31st March 2016,13,28,1777
Confirmed,Central America,HND,Honduras,Americas,7961680,5th April 2016,31st March 2016,13,28,2
Deaths,Central America,HND,Honduras,Americas,7961680,5th April 2016,31st March 2016,13,28,0
Suspected,Central America,HND,Honduras,Americas,7961680,5th April 2016,31st March 2016,13,28,16536
Confirmed,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,5th April 2016,31st March 2016,13,28,1
Deaths,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,5th April 2016,31st March 2016,13,28,0
Suspected,Non Latin Caribbean,JAM,Jamaica,Americas,2721252,5th April 2016,31st March 2016,13,28,0
Confirmed,Latin Caribbean,MTQ,Martinique,Americas,392291,5th April 2016,31st March 2016,13,28,12
Deaths,Latin Caribbean,MTQ,Martinique,Americas,392291,5th April 2016,31st March 2016,13,28,0
Suspected,Latin Caribbean,MTQ,Martinique,Americas,392291,5th April 2016,31st March 2016,13,28,14320
Confirmed,North America,MEX,Mexico,Americas,125385833,5th April 2016,31st March 2016,13,28,185
Deaths,North America,MEX,Mexico,Americas,125385833,5th April 2016,31st March 2016,13,28,0
Suspected,North America,MEX,Mexico,Americas,125385833,5th April 2016,31st March 2016,13,28,0
Confirmed,Central America,NIC,Nicaragua,Americas,6013913,5th April 2016,31st March 2016,13,28,129
Deaths,Central America,NIC,Nicaragua,Americas,6013913,5th April 2016,31st March 2016,13,28,0
Suspected,Central America,NIC,Nicaragua,Americas,6013913,5th April 2016,31st March 2016,13,28,0
Confirmed,Central America,PAN,Panama,Americas,3867535,5th April 2016,31st March 2016,13,28,141
Deaths,Central America,PAN,Panama,Americas,3867535,5th April 2016,31st March 2016,13,28,0
Suspected,Central America,PAN,Panama,Americas,3867535,5th April 2016,31st March 2016,13,28,0
Confirmed,South Cone,PRY,Paraguay,Americas,6552518,5th April 2016,31st March 2016,13,28,7
Deaths,South Cone,PRY,Paraguay,Americas,6552518,5th April 2016,31st March 2016,13,28,0
Suspected,South Cone,PRY,Paraguay,Americas,6552518,5th April 2016,31st March 2016,13,28,0
Confirmed,Latin Caribbean,PRI,Puerto Rico,Americas,3548397,5th April 2016,31st March 2016,13,28,350
